fit_max,fit_median,bestRS_nl,bestRS_unbal,unique_pop
449,426,449,43,100
450,431,450,8,100
450,434,450,8,100
454,436,454,4,100
454,437,454,4,100
454,439,454,4,100
454,440,454,4,100
454,441,454,4,100
454,442,454,4,100
454,443,454,4,100
454,444,454,4,100
454,444,454,4,100
454,445,454,4,100
454,445,454,4,100
454,445,454,4,100
454,445,454,4,100
454,446,454,4,100
454,446,454,4,100
454,447,454,14,100
454,447,454,4,100
454,447,454,4,100
454,447,454,4,100
454,447,454,14,100
454,447,454,4,100
454,448,454,14,100
454,448,454,6,100
454,448,454,6,100
454,448,454,6,100
456,448,456,2,100
456,448,456,2,100
456,448,456,2,100
456,448,456,2,100
456,449,456,2,100
457,449,457,25,100
457,449,457,25,100
457,449,457,25,100
457,449,457,25,100
457,449,457,25,100
457,449,457,25,100
457,449,457,25,100
457,449,457,25,100
457,449,457,25,100
457,450,457,25,100
457,450,457,25,100
459,450,459,7,100
459,450,459,7,100
459,450,459,7,100
459,450,459,7,100
459,450,459,7,100
459,450,459,7,100
459,450,459,7,100
459,450,459,7,100
459,451,459,7,100
459,451,459,7,100
459,451,459,7,100
459,451,459,7,100
459,451,459,7,100
459,451,459,7,100
459,451,459,7,100
459,451,459,7,100
459,451,459,7,100
459,451,459,7,100
459,452,459,7,100
459,452,459,7,100
459,452,459,7,100
459,452,459,7,100
459,452,459,7,100
460,452,460,8,100
460,452,460,8,100
460,452,460,8,100
460,452,460,8,100
460,452,460,8,100
460,452,460,8,100
460,452,460,8,100
460,452,460,8,100
460,453,460,8,100
460,453,460,8,100
460,453,460,8,100
460,453,460,8,100
460,453,460,8,100
460,453,460,8,100
460,453,460,8,100
460,453,460,8,100
460,453,460,8,100
460,453,460,8,100
460,453,460,8,100
460,453,460,8,100
460,453,460,8,100
460,453,460,8,100
460,453,460,8,100
460,453,460,8,100
460,453,460,6,100
460,453,460,6,100
460,454,460,6,100
460,454,460,8,100
460,454,460,8,100
460,454,460,8,100
460,454,460,8,100
460,454,460,6,100
460,454,460,6,100
460,454,460,6,100
460,454,460,8,100
460,454,460,8,100
460,454,460,8,100
460,454,460,8,100
460,454,460,6,100
460,454,460,8,100
460,454,460,8,100
460,454,460,8,100
460,454,460,6,100
460,454,460,8,100
460,454,460,6,100
460,454,460,8,100
460,454,460,8,100
460,454,460,8,100
460,454,460,6,100
460,454,460,8,100
460,454,460,8,100
460,454,460,8,100
460,455,460,8,100
460,455,460,8,100
460,455,460,6,100
460,455,460,8,100
460,455,460,8,100
460,455,460,8,100
460,455,460,6,100
460,455,460,8,100
460,455,460,8,100
460,455,460,6,100
460,455,460,6,100
460,455,460,8,100
460,455,460,6,100
460,455,460,8,100
460,455,460,8,100
460,455,460,6,100
460,455,460,8,100
460,455,460,6,100
460,455,460,6,100
460,455,460,8,100
460,455,460,6,100
460,455,460,6,100
460,455,460,8,100
461,455,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,456,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
461,457,461,13,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
462,458,462,4,100
